BOROUGH,longitude,latitude,Residential,Education Facility,Cultural Facility,Recreational Facility,Social Services,Transportation Facility,Commercial,Government Facility,Religious Institution,Health Services,Public Safety,Water,Miscellaneous
Brooklyn,-73.99583017856268,40.70065412699407,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.7517783876887,40.763413461294284,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.99650894605668,40.67411066026367,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.99837997114086,40.671882770338186,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.8210624416585,40.86889047667423,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.16972788014064,40.56654428728394,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.98834653891076,40.67949051475893,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.88382360441862,40.82828030362543,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.98914461070814,40.678199697344844,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.98259922945458,40.58259582657383,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.73999760644608,40.63525309279285,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.98876832456823,40.67417974464572,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.88117645435611,40.83507399736722,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.89874855730358,40.60424992915373,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95054168791759,40.85127859384622,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.8386900423433,40.757005990760895,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.79367981933186,40.85636465843606,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.93118460874322,40.714284752256795,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92950035145736,40.783046726371474,0,0,0,0,0,1,0,0,0,0,0,0,0
